Year,HeadQuarter,Sector,Founders,Investor,Stage,Company_Brand,What_it_does,Amount
2018-01-01,Bengaluru,"Fitness, Health Care, Wellness",Ankur Gupta,Kalaari Capital,Series A,HealthPlix,HealthPlix is a healthtech startup,3000000.0
2018-01-01,"Bengaluru, Karnataka, India",—,Saurav Kumar,Alteria Capital,Seed,dishq,dishq leverages food science and machine learning (AI) to understand and predict people's tastes.,400000.0
2018-01-01,"Bengaluru, Karnataka, India","Artificial Intelligence, Computer, Machine Learning",Ankur Gupta,Sequoia Capital India,Seed,Entropik Technology,The boundaries between Human and Machines are shrinking fast.,1100000.0
2018-01-01,Delhi,"Collaboration, Communities, Coworking, Sharing Economy",Saurav Kumar,Alteria Capital,Series A,myHQ,myHQ turns your everyday coffee space into a perfect work zone. Get an amazing work environment without paying any rent.,500000.0
2018-01-01,"Bangalore City, Karnataka, India",—,Nirmit Parikh,Mumbai Angels Network,Seed,Trell,Trell is a location based network which helps you in exploring amazing experiences and annotating places around you.,1250000.0
2018-01-01,Bengaluru,"Big Data, EdTech, Machine Learning",Kshama Fernandes,9Unicorns,Seed,Kidovators (by GyanLab),Building future human capital through 21st Century Skills programs for K-12,180000.0
2018-01-01,"Uttar Pradesh, India, Asia",Nanotechnology,"Sankar Bora, Sourjyendu Medda, Vineet Rao",Titan Capital,Seed,Log 9 Materials,Log 9 Materials is a nano-materials manufacturing and RnD startup,390000.0
2018-01-01,"Gurgaon, Haryana, India","Analytics, Audio, Digital Media, Innovation Management, Internet Radio, Media and Entertainment",Nitish Mittersain,Sixth Sense Ventures,Seed,VTION,VTION is a media technology innovation firm aiming to solve key problems in the media based ecosystem.,249600.0
2018-01-01,"Bengaluru, Karnataka, India",—,Nitish Mittersain,Sequoia Capital,Seed,HousingMan.com,"New Apartments, Flats for Sale in Bangalore",1339000.0
2018-01-01,Bengaluru,—,"Sai Srinivas Kiran G, Shubham Malhotra","Venture Catalysts, 9Unicorns Accelerator Fund",Seed,Steradian Semiconductors,It is a fabless semiconductor company focused on CMOS millimeter wave products for Radar.,3000000.0
2018-01-01,Mumbai,"Financial Services, Lending, Peer to Peer",Saurabh Saxena,"Venture Catalysts, 9Unicorns Accelerator Fund",Seed,RupeeCircle,RupeeCircle is a new age finance company.,520000.0
2018-01-01,Jaipur,"E-Commerce, Furniture, Home Decor, Interior Design, Internet","Ashish Singhal, Govind Soni, Vimal Sagar Tiwari",Elevation Capital,Series A,Wooden Street,Woodenstreet.com ensures to fulfill customer’s unique furniture requirements by crafting one-of-a-kind furniture pieces.,1000000.0
2018-01-01,"Bengaluru, Karnataka, India",Digital Media,"Ashneer Grover, Shashvat Nakrani",Better Capital,Series A,The Ken,The Ken is India’s first subscriptions-only business news site,1500000.0
2018-01-01,Mumbai,—,Utham Gowda,Venture Catalysts,Seed,SaffronStays,SaffronStays connects travellers to India's Incredible hosts.,2000000.0
2018-01-01,"Bengaluru, Karnataka, India","File Sharing, Personalization, Social Media",Saurabh Saxena,Venture Catalysts,Seed,Vebbler,A personal network for close people,3000000.0
2018-01-01,Pune,"Home Decor, Interior Design",Kajal Ilmi,Anicut Angel Fund,Series A,Foyr,"Foyr.com is India's first online, automated interior designer",4200000.0
2018-01-01,Jaipur,"Health Care, Medical Device, Mobile Apps","Ashish Singhal, Govind Soni, Vimal Sagar Tiwari",Titan Capital,Seed,MEngage,MEngage is a mass consumer engagement application for doctors on both android and IOS platforms.,175000.0
2018-01-01,Hyderabad,—,Kajal Ilmi,We Founder Circle,Series I,Inner Being Wellness,"Inner Being Wellness manufactures beauty, wellness, and nutrition products.",455000.0
2018-01-01,Chennai,"E-Commerce, Facilities Support Services, Procurement, Supply Chain Management","Ashish Singhal, Govind Soni, Vimal Sagar Tiwari",We Founder Circle,Seed,Kobster,Kobster is a pioneer of B2B eProcurement and an eMarketplace providing Corporates an end-to-end solution for their procure-to-pay cycle.,3000000.0
2018-01-01,Mumbai,Finance,Bhavish Aggarwal,Sequoia Capital India,Series A,Wishberry,Wishberry is a rewards-based crowdfunding platform that enables users to raise funds for their creative and innovative ideas.,1300000.0
2018-01-01,"Andheri, Maharashtra, India",Finance,Sahil Barua,9Unicorns,Seed,McXtra,McXtra is a digital insurance broking startup.,1300000.0
2018-01-01,Bengaluru,"Children, Education, Online Portals","Aman Gupta, Sameer Mehta",Unicorn India Ventures,Seed,Magic Crate,"Magic Crate is a theme based stimulating, fun and learning activity box for 4-8 year olds that is mailed to your doorstep every month.",3000000.0
2018-01-01,Noida,"Software, Virtual Reality",Kajal Ilmi,Elevation Capital,Seed,SmartVizX,It is a Virtual Reality Solutions StartUp,1450000.0
2018-01-01,Delhi,—,Nirmit Parikh,We Founder Circle,Seed,MySEODoc,"SEO, PPC, Search Engine Marketing, Social Media Optimization, Content Marketing, Brand Reputation Management",3000000.0
2018-01-01,Pune,—,Ritesh Agarwal,Sixth Sense Ventures,Seed,ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,Digital Marketing Agency,2600.0
2018-01-01,Delhi,—,Saurabh Saxena,SucSEED Indovation Fund,Seed,Scale Labs,Scale Labs is a cross border e-commerce solutions provider that drives global trade for brands.,1000000.0
2018-01-01,"Bengaluru, Karnataka, India","B2B, Food and Beverage, Food Delivery",Ankur Gupta,Sequoia Capital,Series A,HungerBox,HungerBox is a full stack B2B F&B technology company delivering food solutions for the corporates in India.,4500000.0
2018-01-01,Noida,"Catering, Food and Beverage, Food Delivery, Food Processing",Ritesh Agarwal,Blue Ashva Capital,Seed,Biryani By Kilo,BBK delivers both authentic taste of Hyderabadi and Lucknowi Biryani prepared in individual earthen Handis with the freshest ingredients.,1000000.0
2018-01-01,Mumbai,"Food and Beverage, Snack Food",Saurabh Saxena,Venture Catalysts,Seed,Wholesome Habits (EAT Anytime),Wholesome Habits (EAT Anytime) is a healthy snacks Company.,500000.0
2018-01-01,Mylapore,Transport,Kajal Ilmi,Sixth Sense Ventures,Seed,GoBumpr,Car Service and Bike Service Mobile App,600000.0
2018-01-01,"Ahmedabad, Gujarat, India","Computer, Digital Marketing, Facilities Support Services, Graphic Design, Internet, Mobile Apps, Social Media Marketing, Web Development","Ashneer Grover, Shashvat Nakrani",We Founder Circle,Seed,Fixpocket,Fixpocket is a internet-based startup.,250000.0
2018-01-01,Bengaluru,Finance,Kshama Fernandes,Sequoia Capital India,Series A,edureka!,"Edureka is the fastest growing online learning platform that offers live, instructor-led courses for professionals from various industries.",2000000.0
2018-01-01,Mumbai,"Analytics, CRM, Loyalty Programs, Machine Learning, Marketing Automation, Retail Technology, SaaS, Small and Medium Businesses",Nitish Mittersain,Better Capital,Seed,Hashtag Loyalty Private Limited,Hashtag Loyalty is a customer engagement and marketing automation tool for local businesses.,3000000.0
2018-01-01,Mumbai,"Delivery, Information Technology, Mobile Apps","Sai Srinivas Kiran G, Shubham Malhotra",Sequoia Capital,Series A,Wow Express,"WOW, as customers react to his studiously taught, trained, polite and courteous nature.",4500000.0
2018-01-01,"Gurgaon, Haryana, India","Environmental Consulting, Renewable Energy","Ashneer Grover, Shashvat Nakrani",Blue Ashva Capital,Pre-Seed,ZunRoof,ZunRoof is a rooftop focused solar startup.,215800.0
2018-01-01,"Indore, Madhya Pradesh, India","Food and Beverage, Food Processing",Kunal Shah,SucSEED Indovation Fund,Series B,Eggoz,Eggoz is a full-stack layer poultry business operator & service provider .,156000.0
2018-01-01,"Gurgaon, Haryana, India",Finance,"Ashneer Grover, Shashvat Nakrani",Elevation Capital,Seed,Sqrrl Fintech,Personal Finance,1000000.0
2018-01-01,Noida,Finance,Prabhkiran Singh,SucSEED Indovation Fund,Seed,GalaxyCard,GalaxyCard is a mobile based Instant credit card.,3000000.0
2018-01-01,"Bengaluru, Karnataka, India","Commercial Real Estate, Coworking, Office Administration, Real Estate",Saurav Kumar,Sixth Sense Ventures,Series A,IndiQube,IndiQube is a provider of co-working spaces based in Bengaluru.,15000000.0
2018-01-01,Mumbai,"Food and Beverage, Food Processing, Organic Food, Snack Food",Prabhkiran Singh,9Unicorns,Seed,EGK Foods,A food processing enterprise registered with StartUp India .,260000.0
2018-01-01,"Gurgaon, Haryana, India","Apps, Health Care, Internet, Mobile Apps, Personal Health",Sahil Barua,Anicut Angel Fund,Seed,NirogStreet,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,300000.0
2018-01-01,Ghaziabad,"Digital Media, Incubators, Social Entrepreneurship",Bhavish Aggarwal,Inflection Point Ventures,Seed,Pixr8,Pixr8 is a global media platform dedicated to Start-ups and business organisations for promoting entrepreneurship work.,50000.0
2018-01-01,Noida,Finance,Kajal Ilmi,Sixth Sense Ventures,Seed,Nivesh.com,Nivesh.com is a mass market mutual funds investment platform.,390000.0
2018-01-01,Hyderabad,"Biotechnology, Health Care, Life Science, Medical Device","Sankar Bora, Sourjyendu Medda, Vineet Rao",Unicorn India Ventures,Seed,Theranosis Life Sciences,A fully functioning cell culture facility and molecular biology setup.,3000000.0
2018-01-01,"Bengaluru, Karnataka, India",Travel,Kunal Shah,Sequoia Capital,Seed,Poshmiles Online Solutions Private Limited,Poshmiles aims to help point travellers to long weekend trips at popular and undiscovered destinations based on budget & interest.,3000000.0
2018-01-01,Noida,"Education, Human Resources","Ashneer Grover, Shashvat Nakrani",Mumbai Angels Network,Seed,Reculta,A campus recruitment solution provider.,3000000.0
2018-01-01,Mumbai,Internet,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari",Unicorn India Ventures,Seed,Orbo.ai,Orbo is a computer vision and deep facial technology company.,3000000.0
2018-01-01,"Kochi, Kerala, India",Consumer Electronics,Kajal Ilmi,Blue Ashva Capital,Seed,Inntot Technologies,"Inntot Technologies, is a technology driven company.",3000000.0
2018-01-01,Powai,"Apps, Health Care, Hospital, Mobile Apps","Vineet Khanna, Varun Sadana, Aman Tekriwal",Sixth Sense Ventures,Seed,Zoctr Health,Zoctr Health Network is a first-of-its kind pan-India Home & Telehealth Company,3000000.0
2018-01-01,Mumbai,Transport,"Sankar Bora, Sourjyendu Medda, Vineet Rao",Mumbai Angels Network,Seed,Hey Deedee,Hey Deedee is a Mumbai-based company that provides solutions to parcel delivery problems.,429000.0
2018-01-01,"Bengaluru, Karnataka, India","Information Services, Information Technology","Vineet Khanna, Varun Sadana, Aman Tekriwal",SucSEED Indovation Fund,Seed,DigiConnectt Technologys,A technology company focused on introducing products that will accelerate and enhance sales productivity and effectiveness .,125000.0
2018-01-01,Bengaluru,Transport,"Vineet Khanna, Varun Sadana, Aman Tekriwal",Unicorn India Ventures,Series A,Locus.sh,Locus is an intelligent logistics automation platform.,4000000.0
2018-01-01,New Delhi,"Basketball, Cricket, Cycling, eSports, Fitness, Golf, Health Care, Hockey, Sports, Swimming, Table Tennis, Volley Ball",Ankur Gupta,SucSEED Indovation Fund,Seed,Sports Flashes Pvt. Ltd,"Sports Flashes operates a sports content app that provides sports news, live scores, fantasy gaming, expert views, trivia, and more.",1000000.0
2018-01-01,New Delhi,"Media and Entertainment, News, Publishing",Saurabh Saxena,Better Capital,Seed,Inc42,Inc42 is one of the leading tech media publications of India.,3000000.0
2018-01-01,"Guntur, Andhra Pradesh, India",Internet,Kunal Shah,Unicorn India Ventures,Seed,Picxy,"A stock photo startup based in Amravati, Andhra Pradesh.",130000.0
2018-01-01,Haryana,Consulting,Nirmit Parikh,Anicut Angel Fund,Seed,Huddle,A coworking incubator Company.,300000.0
2018-01-01,"Gurgaon, Haryana, India",Human Resources,Nirmit Parikh,Y Combinator,Seed,Benepik,HR Technology start-up.,3000000.0
2018-01-01,New Delhi,Finance,Ritesh Agarwal,Sequoia Capital India,Seed,Cash Suvidha,Cash Suvidha is an Digital Lending Platform that provide working capital finance to SMEs and MSMEs in India.,1000000.0
2018-01-01,Bengaluru,"Big Data, Financial Services, Machine Learning, Predictive Analytics","Sankar Bora, Sourjyendu Medda, Vineet Rao",Alteria Capital,Seed,Smartcoin,Providing financial access to the millions of mobile users in India using alternative credit assessment,2000000.0
2018-01-01,"Indore, Madhya Pradesh, India","Agriculture, AgTech, Manufacturing",Saurabh Saxena,Anicut Angel Fund,Series A,Carmel Organics,"Carmel Organics is an India-based herb company engaged in sourcing, processing, and distributing herbal tea ingredients.",3000000.0
2018-01-01,New Delhi,—,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari",Titan Capital,Series B,Roadcast,Transforming the way businesses deliver. Work-force & fleet mobility tools.,250000.0
2018-01-01,New Delhi,"Digital Media, News, Publishing",Nitish Mittersain,Kalaari Capital,Seed,Printline Media(ThePrint),A digital news platform.,453700.0
2018-01-01,"Gurgaon, Haryana, India",Financial Services,Nirmit Parikh,"Venture Catalysts, 9Unicorns Accelerator Fund",Seed,Creditas Solutions,Creditas was set-up in 2015 with an aim to help Financial Institutions find better ways to reach and interact with their customers.,3000000.0
2018-01-01,"Bengaluru, Karnataka, India",Software,Saurav Kumar,SucSEED Indovation Fund,Seed,UrbanPiper,UrbanPiper offers restaurants and chains with a suite of products to manage and analyze their online presence.,3000000.0
2018-01-01,Mumbai,"Health Care, Hospital","Sankar Bora, Sourjyendu Medda, Vineet Rao",Venture Catalysts,Seed,Doxper,Doxper is Health tech startup which has created a digital pen and coded paper system for doctors to record patient information,936000.0
2018-01-01,Noida,Finance,"Ashneer Grover, Shashvat Nakrani",Venture Catalysts,Series A,i2ifunding,i2ifunding is an online marketplace that connects borrowers looking for personal loans with investors looking for alternative investments.,650000.0
2018-01-01,Bengaluru,"B2B, E-Commerce, Enterprise","Aman Gupta, Sameer Mehta",We Founder Circle,Seed,ShakeDeal,Home of B2B Commerce,3000000.0
2018-01-01,Noida,"Fraud Detection, Information Services, Security",Prabhkiran Singh,Venture Catalysts,Seed,HelloVerify,HelloVerify is an online background check platform.,3000000.0
2018-01-01,"Bengaluru, Karnataka, India","Agriculture, AgTech, Artificial Intelligence, Internet of Things, Machine Learning",Ritesh Agarwal,Sequoia Capital India,Seed,Fasal,Climate Smart Precision Agriculture Platform,120000.0
2018-01-01,Delhi,Finance,"Sankar Bora, Sourjyendu Medda, Vineet Rao",Inflection Point Ventures,Seed,CoinGeto,CoinGeto is one of India’s most advanced digital assets exchange.,1560000.0
2018-01-01,Bengaluru,Finance,Utham Gowda,Better Capital,Series A,Avail Finance,Avail is a mobile-first platform aiming to financially include the urban mass of India.,17200000.0
2018-01-01,"Bengaluru, Karnataka, India",Information Technology,"Sankar Bora, Sourjyendu Medda, Vineet Rao",Venture Catalysts,Seed,Tripeur,Radical Travel Automation - Cloud Based Corporate Travel & Expense Management Software,600000.0
2018-01-01,Bengaluru,Wedding,Bhavish Aggarwal,9Unicorns,Fresh Funding,Wedeterna,"Wedeterna is a new-age, personalised and fresh approach to arranged marriages, DIY matrimonial community with only self created profiles.",3000000.0
